id,d1,end_state1,hispanic,race,racethn,nativity,racethn2,acarot,aca,q1rot,q1,endq1,q2rot,q2rot2,q2a,q2b,q2c,q2d,q2e,q2f,q2g,endq2,q3,q27,q4rot,q4,q5rot,q5,q6,q7rot,q7rot2,q7a,q7b,q8,q9rot,q9,q10rot,q10a,q10b,q10c,endq10,q16,q17rot,q17,q18rot,q18a,q18b,q18c,q18e,q18f,q18g,q18h,q18i,q18j,q11rot,q11,q12rot,q12a,q12b,q12c,q12d,q12e,q12f,q12g,q12h,q12i,q13rot,q13,q14rot,q14,q15,q19_q20rot,q19,q20,q21,q22,endq22,age,age2,recage,recage2,recage3,recage4,recage5,child,marital,rvote,voted,voted2rot,voted2,voted2ot,inclosstotal,employ,recemploy,essential,hcworker2,hcworker3,coverage,agecov,covtype,agecovtype,covselfother,q23,q23ot1,q23ot2,q23ot3,q23ot4,rsex,gendervar,lgbt,q24,delayedcare,test1,q25,test3,q26,chroniccovid,partyrot,party,partylean,party3,party5,ideology,educ,receduc,receduc2,receduc3,income,recincome,cell,hhcell,landline,curlangx,hhadults,int,length,cstate,cregion,density,dtype,dialtype,dialmode,sample,userdata,exchangstat,exchangstat2,stateexpmedi,gvnrexpmedi,reprostat,waiver,qctr,xctr,wt1,weight,standwt,weight_ssrs,lang,Division,changesex,iphoneuse,hphoneuse,cdc2013,cdc2013USR,SAMPLE_TYPE,state1,state,USR
00021229,Female,762,No,White,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","1,4",Somewhat favorable,"01,04",Build on what the law does,101, ,oppose/favor,Oppose,Favor,Favor,Oppose,Favor,Favor,Favor,161,Yes - minor impact,More than 6 months or until there is a vaccine widely available,"02,01",Option B: The worst is yet to come,"01,03",Generally correct,Somewhat worried,"02,01",not enough/too many,About the right amount,About the right amount,Every time,part of everyone's responsibility/personal choice,Wearing a mask is part of everyone's responsibility to protect the health of others,"03,02,01",Yes,No,Yes,213,Definitely get it,"1,3",Get the vaccine as soon as you can, , , , , , , , , , ,everyone's responsibility/personal choice,Getting vaccinated is part of everyone's responsibility to protect the health of others,"03,09,01,02,08,06,05,04,07",Not at all,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A great deal,A fair amount,slowly/quickly,About right,making a profit/working for the good of the public,Mostly interested in working for the good of the public,By the summer of 2021,Q20/Q19,Very confident,Very confident, , ,287,70, ,65+,65+,65+,70-74,65+,No,Never been married,Yes,"Yes, voted",Joe Biden/Donald Trump,Joe Biden, ,No,Employed part-time,EMPLOYED,Yes,"Yes, I work in health care delivery setting",Yes,Covered by health insurance, ,Medicare, , , , , , , ,Female,FEMALE,No,Yes,No,Yes,No,Yes,No,No one in household has serious health condition,"2,1",Democrat, ,DEMOCRAT/INDEPENDENT LEAN DEMOCRAT,DEMOCRAT,Moderate,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",COLLEGE +,COLLEGE +,COLLEGE +,"$100,000 or more",$90K+,"Yes, have cell phone", , ,English,4,Yes,1201,Missouri,North Central,4,Outbound,Automatic,Predictive (Landline sample we want to dial predictively) Any Non-PS LL,landline,RDD,Federally facilitated,Federal or state with federal platform,No/Maybe,No/Maybe, ,No,77,0,1.2093,14.566,.6409,1.0741,English,West North Central,sex = rsex,Dual,Dual HH,2,"Suburban (CDC=2,3)",LL RDD,MISSOURI,1,Suburban
00021943,Female,689,No,White,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","1,4",Very favorable,"01,04",Build on what the law does,66, ,favor/oppose,Favor,Favor,Favor,Favor,Favor,Favor,Favor,123,Yes - major impact,More than 6 months or until there is a vaccine widely available,"01,02",Option B: The worst is yet to come,"01,03",Generally correct,Very worried,"01,02",too many/not enough,Not enough,About the right amount,Every time,personal choice/part of everyone's responsibility,Wearing a mask is part of everyone's responsibility to protect the health of others,"02,01,03",Yes,No,Yes,233,Definitely get it,"1,3",Get the vaccine as soon as you can, , , , , , , , , , ,personal choice/everyone's responsibility,Getting vaccinated is part of everyone's responsibility to protect the health of others,"01,07,02,09,05,04,08,03,06",Not at all,A fair amount,A fair amount,A great deal,A great deal,A fair amount,A great deal,A great deal,A fair amount,quickly/slowly,About right,working for the good of the public/making a profit,Equally interested in working for the public and making a profit,By the summer of 2021,Q19/Q20,Very confident,Somewhat confident, , ,267,67, ,65+,65+,65+,60-69,65+,No,Widowed,Yes,"Yes, voted",Donald Trump/Joe Biden,Joe Biden, ,No,Employed full-time,EMPLOYED,Yes,No, ,Covered by health insurance, ,Medicare, , , , , , , ,Female,FEMALE,No,Yes,"Yes, me",Yes,Yes,Yes,Yes,No one in household has serious health condition,"1,2",Democrat, ,DEMOCRAT/INDEPENDENT LEAN DEMOCRAT,DEMOCRAT,Liberal,"Some college, no degree (includes some community college)",SOME COLLEGE,SOME COLLEGE,LESS THAN COLLEGE,"$30,000 to less than $40,000",LESS THAN $40K,"Yes, have cell phone", , ,English,1,Yes,1198,Pennsylvania,Northeast,Highest,Outbound,Automatic,Predictive (Landline sample we want to dial predictively) Any Non-PS LL,landline,RDD,State based,State based,Yes,Yes - Democratic/Independent, ,No,77,1,.7859,12.615,.555,.9302,English,Mid Atlantic,sex = rsex,Dual,Dual HH,1,Urban (CDC=1),LL RDD,PENNSYLVANIA,1,Urban
00022407,Female,1071,No,White,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","1,4",Very favorable,"01,04",None of these/Something else (Vol.),130, ,oppose/favor,Favor,Favor,Favor,Favor,Favor,Favor,Favor,270,No,More than 6 months or until there is a vaccine widely available,"02,01",Option B: The worst is yet to come,"01,03",Generally underestimated,Somewhat worried,"02,01",not enough/too many,Not enough,Not enough,Every time,part of everyone's responsibility/personal choice,Wearing a mask is part of everyone's responsibility to protect the health of others,"01,03,02",Yes,No,Yes,265,Definitely get it,"1,3",Wait until it has been available for a while to see how it is working for other people, , , , , , , , , , ,everyone's responsibility/personal choice,Getting vaccinated is part of everyone's responsibility to protect the health of others,"02,03,05,06,09,07,01,04,08",Not at all,A fair amount,A great deal,A great deal,A fair amount,A great deal,A great deal,A great deal,Not at all,slowly/quickly,About right,making a profit/working for the good of the public,Equally interested in working for the public and making a profit,By the summer of 2021,Q20/Q19,Somewhat confident,Somewhat confident, , ,406,86, ,65+,65+,65+,75+,65+,No,Divorced,Yes,"Yes, voted",Joe Biden/Donald Trump,Joe Biden, ,No,Retired,RETIRED, ,No, ,Covered by health insurance, ,Medicare, , , , , , , ,Female,FEMALE,No,Yes,No,Yes,No,Yes,No,"Yes, respondent","2,1",Democrat, ,DEMOCRAT/INDEPENDENT LEAN DEMOCRAT,DEMOCRAT,Moderate,High school graduate (Grade 12 with diploma or GED certificate),HIGH SCHOOL GRADUATE,HIGH SCHOOL OR LESS,LESS THAN COLLEGE,"$20,000 to less than $30,000",LESS THAN $40K,"Yes, have cell phone", , ,English,1,Yes,1673,Virginia,South,Lowest,Outbound,Automatic,Predictive (Landline sample we want to dial predictively) Any Non-PS LL,landline,RDD,State based Federal platform,Federal or state with federal platform,Yes,Yes - Democratic/Independent, ,No,75,0,.7859,19.706,.867,1.4531,English,South Atlantic,sex = rsex,Dual,Dual HH,4,Rural (CDC=4-6),LL RDD,VIRGINIA,1,Suburban
00022917,Female,1104,No,White,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","1,4",Somewhat favorable,"01,04",Keep the law as it is,146, ,oppose/favor,Oppose,Oppose,Oppose,Favor,Favor,Oppose,Favor,274,No,Between 1 and 3 months,"02,01",Option B: The worst is yet to come,"01,03",Generally underestimated,Somewhat worried,"02,01",not enough/too many,About the right amount,About the right amount,Most of the time,part of everyone's responsibility/personal choice,Wearing a mask is part of everyone's responsibility to protect the health of others, ,Yes,No,Yes,336,Definitely get it,"1,3",Get the vaccine as soon as you can, , , , , , , , , , ,everyone's responsibility/personal choice,Getting vaccinated is part of everyone's responsibility to protect the health of others,"02,05,08,07,04,06,01,03,09",A fair amount,A fair amount,A fair amount,A fair amount,Not much,A fair amount,A fair amount,A great deal,A fair amount,slowly/quickly,About right,making a profit/working for the good of the public,Equally interested in working for the public and making a profit,By the end of 2020,Q20/Q19,Somewhat confident,Somewhat confident, , ,348,82, ,65+,65+,65+,75+,65+,No,Widowed,Yes,"Yes, voted",Joe Biden/Donald Trump,Donald Trump, ,No,Retired,RETIRED, ,No, ,Covered by health insurance, ,Medicare, , , , , , , ,Female,FEMALE,No,Yes,No,Yes,No,No, ,No one in household has serious health condition,"2,1",Republican, ,REPUBLICAN/INDEPENDENT LEAN REPUBLICAN,REPUBLICAN,Moderate,High school graduate (Grade 12 with diploma or GED certificate),HIGH SCHOOL GRADUATE,HIGH SCHOOL OR LESS,LESS THAN COLLEGE,"Less than $20,000",LESS THAN $40K,"Yes, have cell phone", , ,English,1,Yes,1609,Georgia,South,2,Outbound,Automatic,Predictive (Landline sample we want to dial predictively) Any Non-PS LL,landline,RDD,Federally facilitated,Federal or state with federal platform,No/Maybe,No/Maybe, ,No,73,0,.7859,21.908,.9639,1.6155,English,South Atlantic,sex = rsex,Dual,Dual HH,3,"Suburban (CDC=2,3)",LL RDD,GEORGIA,1,Suburban
00023174,Female,799,No,Other or mixed race,"OTHER, NON-HISPANIC", ,"OTHER, NON-HISPANIC","4,1",Somewhat favorable,"04,01",Build on what the law does,101, ,favor/oppose,Favor,Favor,Favor,Favor,Favor,Favor,Favor,136,Yes - major impact,More than 6 months or until there is a vaccine widely available,"01,02",Option B: The worst is yet to come,"03,01",Generally correct,Very worried,"01,02",too many/not enough,Not enough,Not enough,Most of the time,personal choice/part of everyone's responsibility,Wearing a mask is part of everyone's responsibility to protect the health of others,"01,02,03",Yes,No,Yes,244,Probably get it,"3,1",Wait until it has been available for a while to see how it is working for other people, , , , , , , , , , ,personal choice/everyone's responsibility,Getting vaccinated is part of everyone's responsibility to protect the health of others,"05,01,07,06,09,08,04,02,03",Not at all,A fair amount,A fair amount,A great deal,A fair amount,A fair amount,A fair amount,A fair amount,A great deal,quickly/slowly,About right,working for the good of the public/making a profit,Equally interested in working for the public and making a profit,By the summer of 2021,Q19/Q20,Somewhat confident,Somewhat confident, , ,318,19, ,18-64,18-29,18-24,18-39,18-29,No,Never been married,Yes,"Yes, voted",Donald Trump/Joe Biden,Joe Biden, ,Yes,Employed part-time,EMPLOYED,Yes,"Yes, someone else in my household works in health care delivery setting",Yes,Covered by health insurance,INSURED LESS THAN 65,Plan through your parents/mother/father (VOL.),Plan through parents/mother/father (Vol), , , , , , ,Female,FEMALE,No,Yes,"Yes, both me and a family member",Yes,Yes,Yes,Yes,"Yes, someone else in household","1,2",Independent,Democratic,DEMOCRAT/INDEPENDENT LEAN DEMOCRAT,INDEPENDENT/LEAN DEM,Liberal,"Some college, no degree (includes some community college)",SOME COLLEGE,SOME COLLEGE,LESS THAN COLLEGE,"$75,000 to less than $90,000",$40K-$89K,"Yes, have cell phone", , ,English,3,Yes,1426,Connecticut,Northeast,4,Outbound,Automatic,Predictive (Landline sample we want to dial predictively) Any Non-PS LL,landline,RDD,State based,State based,Yes,Yes - Democratic/Independent, ,No,89,0,1.2093,22.083,.9716,1.6284,English,New England,sex = rsex,Dual,Dual HH,1,Urban (CDC=1),LL RDD,CONNECTICUT,1,Suburban
00023832,Female,893,No,White,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","1,4",Somewhat favorable,"01,04",Repeal the entire law,75, ,oppose/favor,Oppose,Oppose,Favor,Oppose,Favor,Favor,Oppose,171,Yes - minor impact,More than 6 months or until there is a vaccine widely available,"02,01",Option B: The worst is yet to come,"01,03",Generally correct,Somewhat worried,"02,01",not enough/too many,About the right amount,Too many,Every time,part of everyone's responsibility/personal choice,Wearing a mask is part of everyone's responsibility to protect the health of others,"02,03,01",Yes,No,Yes,314,Probably get it,"1,3",Wait until it has been available for a while to see how it is working for other people, , , , , , , , , , ,everyone's responsibility/personal choice,Getting vaccinated is part of everyone's responsibility to protect the health of others,"07,09,04,02,08,03,06,05,01",A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,slowly/quickly,About right,making a profit/working for the good of the public,Equally interested in working for the public and making a profit,By the summer of 2021,Q20/Q19,Somewhat confident,Somewhat confident, , ,333,78, ,65+,65+,65+,75+,65+,No,Married,Yes,"Yes, voted",Joe Biden/Donald Trump,Donald Trump, ,No,Retired,RETIRED, ,No, ,Covered by health insurance, ,Medicare, , , , , , , ,Female,FEMALE,No,No,No,Yes,Yes,Yes,Yes,"Yes, someone else in household","2,1",Republican, ,REPUBLICAN/INDEPENDENT LEAN REPUBLICAN,REPUBLICAN,Conservative,High school graduate (Grade 12 with diploma or GED certificate),HIGH SCHOOL GRADUATE,HIGH SCHOOL OR LESS,LESS THAN COLLEGE,"$50,000 to less than $75,000",$40K-$89K,"Yes, have cell phone", , ,English,2,Yes,1374,Tennessee,South,2,Outbound,Automatic,Predictive (Landline sample we want to dial predictively) Any Non-PS LL,landline,RDD,Federally facilitated,Federal or state with federal platform,No/Maybe,No/Maybe, ,No,76,0,1.0657,29.709,1.3071,2.1908,English,East South Central,sex = rsex,Dual,Dual HH,5,Rural (CDC=4-6),LL RDD,TENNESSEE,1,Rural
00023837,Female,1215,No,White,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","4,1",Don't know,"04,01",Build on what the law does,138, ,favor/oppose,Favor,Favor,Favor,Favor,Favor,Favor,Favor,166,Yes - major impact,More than 6 months or until there is a vaccine widely available,"01,02",Option B: The worst is yet to come,"03,01",Generally correct,Very worried,"01,02",too many/not enough,Not enough,Not enough,Every time,personal choice/part of everyone's responsibility,Wearing a mask is part of everyone's responsibility to protect the health of others,"03,02,01",No,Yes,No,292,Probably get it,"3,1",Get the vaccine as soon as you can, , , , , , , , , , ,personal choice/everyone's responsibility,Getting vaccinated is a personal choice,"04,08,02,07,09,05,03,06,01",A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,Not at all,A fair amount,A great deal,Not at all,quickly/slowly,About right,working for the good of the public/making a profit,Mostly interested in making a profit,By the summer of 2021,Q19/Q20,Not too confident,Somewhat confident, , ,619,48, ,18-64,30-49,45-54,40-59,45-64,Yes,Living with a partner,Yes,"Yes, voted",Donald Trump/Joe Biden,Donald Trump, ,Yes,Unemployed and not seeking employment,UNEMPLOYED, ,No, ,Covered by health insurance,INSURED LESS THAN 65,Plan through your employer,Employer, , , , , , ,Female,FEMALE,No,Yes,No,Yes,Yes,No, ,No one in household has serious health condition,"1,2",Independent,Republican,REPUBLICAN/INDEPENDENT LEAN REPUBLICAN,INDEPENDENT LEAN REP,Moderate,"Some college, no degree (includes some community college)",SOME COLLEGE,SOME COLLEGE,LESS THAN COLLEGE,"$90,000 to less than $100,000",$90K+,"Yes, have cell phone", , ,English,3,Yes,2007,West Virginia,South,3,Outbound,Automatic,Predictive (Landline sample we want to dial predictively) Any Non-PS LL,landline,RDD,Federally facilitated,Federal or state with federal platform,Yes,Yes - Republican Governor, ,No,74,1,1.2093,42.428,1.8668,3.1287,English,South Atlantic,sex = rsex,Dual,Dual HH,4,Rural (CDC=4-6),LL RDD,WEST VIRGINIA,1,Suburban
00023939,Male,629,No,White,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","4,1",Somewhat favorable,"04,01",Build on what the law does,64, ,oppose/favor,Oppose,Oppose,Favor,Favor,Favor,Favor,Favor,121,Yes - minor impact,Between 1 and 3 months,"02,01",Option A: The worst is behind us,"03,01",Generally underestimated,Very worried,"02,01",not enough/too many,Not enough,Not enough,Every time,part of everyone's responsibility/personal choice,Wearing a mask is part of everyone's responsibility to protect the health of others, ,Yes,Don't know,Yes,194,Probably get it,"3,1",Wait until it has been available for a while to see how it is working for other people, , , , , , , , , , ,everyone's responsibility/personal choice,Getting vaccinated is part of everyone's responsibility to protect the health of others,"08,03,04,07,09,01,02,06,05",A fair amount,A fair amount,A fair amount,A fair amount,Not at all,Not much,A fair amount,A fair amount,A fair amount,slowly/quickly,Too slowly,making a profit/working for the good of the public,Equally interested in working for the public and making a profit,By the end of 2020,Q20/Q19,Somewhat confident,Somewhat confident, , ,250,68, ,65+,65+,65+,60-69,65+,No,Divorced,Yes,"Yes, voted",Joe Biden/Donald Trump,Donald Trump, ,No,Employed full-time,EMPLOYED,Yes,No, ,Covered by health insurance, ,Medicare, , , , , , , ,Male,MALE,No,Yes,No,No, ,No, ,"Yes, respondent","2,1",Republican, ,REPUBLICAN/INDEPENDENT LEAN REPUBLICAN,REPUBLICAN,Conservative,Two year associate degree from a college or university,SOME COLLEGE,SOME COLLEGE,LESS THAN COLLEGE,"$20,000 to less than $30,000",LESS THAN $40K,"Yes, have cell phone", , ,English,1,Yes,1003,Kansas,North Central,4,Outbound,Automatic,Predictive (Landline sample we want to dial predictively) Any Non-PS LL,landline,RDD,Federally facilitated,Federal or state with federal platform,No/Maybe,No/Maybe, ,Yes,73,1,.7859,15.575,.6853,1.1485,English,West North Central,sex = rsex,Dual,Dual HH,2,"Suburban (CDC=2,3)",LL RDD,KANSAS,1,Urban
00024870,Female,714,No,White,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","1,4",Don't know,"01,04",Build on what the law does,62, ,oppose/favor,Favor,Oppose,Oppose,Favor,Favor,Favor,Favor,118,No,More than 6 months or until there is a vaccine widely available,"02,01",Option B: The worst is yet to come,"01,03",Generally correct,Somewhat worried,"02,01",not enough/too many,Not enough,Not enough,Every time,part of everyone's responsibility/personal choice,Wearing a mask is part of everyone's responsibility to protect the health of others,"01,03,02",Yes,Don't know,Yes,202,Probably get it,"1,3",Wait until it has been available for a while to see how it is working for other people, , , , , , , , , , ,everyone's responsibility/personal choice,Getting vaccinated is part of everyone's responsibility to protect the health of others,"05,06,07,03,01,04,09,08,02",A fair amount,A fair amount,A great deal,A great deal,A fair amount,A great deal,A great deal,A great deal,A great deal,slowly/quickly,About right,making a profit/working for the good of the public,Equally interested in working for the public and making a profit,By the end of 2020,Q20/Q19,Somewhat confident,Very confident, , ,332,71, ,65+,65+,65+,70-74,65+,No,Married,Yes,"No, did not vote", , , ,No,On disability and can't work,ON DISABILITY AND CAN'T WORK, ,No, ,Covered by health insurance, ,Medicare, , , , , , , ,Female,FEMALE,No,No,No,Yes,No,No, ,"Yes, both respondent and someone else in household","2,1",Democrat, ,DEMOCRAT/INDEPENDENT LEAN DEMOCRAT,DEMOCRAT,Moderate,High school incomplete (Grades 9-11 or Grade 12 with no diploma),LESS THAN HIGH SCHOOL,HIGH SCHOOL OR LESS,LESS THAN COLLEGE,"$20,000 to less than $30,000",LESS THAN $40K,"No, do not",No, ,English,2,Yes,1136,Tennessee,South,3,Outbound,Automatic,Predictive (Landline sample we want to dial predictively) Any Non-PS LL,landline,RDD,Federally facilitated,Federal or state with federal platform,No/Maybe,No/Maybe, ,No,77,2,1.836,42.429,1.8668,3.1287,English,East South Central,sex = rsex,LLO,LLO HH,4,Rural (CDC=4-6),LL RDD,TENNESSEE,1,Urban
00024932,Female,684,No,White,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","1,4",Very favorable,"01,04",Build on what the law does,73, ,oppose/favor,Oppose,Oppose,Favor,Oppose,Favor,Favor,Favor,108,Yes - minor impact,More than 6 months or until there is a vaccine widely available,"02,01",Option B: The worst is yet to come,"01,03",Generally correct,Not too worried,"02,01",not enough/too many,About the right amount,About the right amount,Every time,part of everyone's responsibility/personal choice,Wearing a mask is part of everyone's responsibility to protect the health of others,"01,03,02",Yes,No,Yes,209,Definitely get it,"1,3",Get the vaccine as soon as you can, , , , , , , , , , ,everyone's responsibility/personal choice,Getting vaccinated is part of everyone's responsibility to protect the health of others,"06,08,05,03,07,09,01,04,02",Not at all,A fair amount,A fair amount,A great deal,A great deal,A great deal,A fair amount,A great deal,A fair amount,slowly/quickly,Too quickly,making a profit/working for the good of the public,Equally interested in working for the public and making a profit,By the summer of 2021,Q20/Q19,Somewhat confident,Somewhat confident, , ,294,70, ,65+,65+,65+,70-74,65+,No,Widowed,Yes,"Yes, voted",Joe Biden/Donald Trump,Joe Biden, ,No,Retired,RETIRED, ,No, ,Covered by health insurance, ,Plan through your employer, , , , , , , ,Female,FEMALE,No,Yes,No,Yes,Yes,Yes,No,No one in household has serious health condition,"2,1",Democrat, ,DEMOCRAT/INDEPENDENT LEAN DEMOCRAT,DEMOCRAT,Moderate,Two year associate degree from a college or university,SOME COLLEGE,SOME COLLEGE,LESS THAN COLLEGE,"$75,000 to less than $90,000",$40K-$89K,"Yes, have cell phone", , ,English,1,Yes,1134,New York,Northeast,Lowest,Outbound,Automatic,Predictive (Landline sample we want to dial predictively) Any Non-PS LL,landline,RDD,State based,State based,Yes,Yes - Democratic/Independent, ,No,74,0,.7859,10.324,.4543,.7613,English,Mid Atlantic,sex = rsex,Dual,Dual HH,5,Rural (CDC=4-6),LL RDD,NEW YORK,1,Rural
00025010,Female,652,No,White,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","1,4",Very favorable,"01,04",Build on what the law does,81, ,favor/oppose,Favor,Favor,Favor,Favor,Favor,Favor,Favor,131,No,More than 6 months or until there is a vaccine widely available,"01,02",Option B: The worst is yet to come,"01,03",Generally correct,Somewhat worried,"01,02",too many/not enough,About the right amount,About the right amount,Every time,personal choice/part of everyone's responsibility,Wearing a mask is part of everyone's responsibility to protect the health of others,"02,01,03",Yes,No,Yes,206,Definitely get it,"1,3",Wait until it has been available for a while to see how it is working for other people, , , , , , , , , , ,personal choice/everyone's responsibility,Getting vaccinated is part of everyone's responsibility to protect the health of others,"06,09,07,01,08,04,02,05,03",Not at all,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,quickly/slowly,About right,working for the good of the public/making a profit,Equally interested in working for the public and making a profit,By the summer of 2021,Q19/Q20,Very confident,Somewhat confident, , ,234,74, ,65+,65+,65+,70-74,65+,No,Married,Yes,"Yes, voted",Donald Trump/Joe Biden,Joe Biden, ,No,Retired,RETIRED, ,No, ,Covered by health insurance, ,Medicare, , , , , , , ,Female,FEMALE,No,Yes,"Yes, both me and a family member",No, ,No, ,"Yes, both respondent and someone else in household","1,2",Democrat, ,DEMOCRAT/INDEPENDENT LEAN DEMOCRAT,DEMOCRAT,Liberal,Two year associate degree from a college or university,SOME COLLEGE,SOME COLLEGE,LESS THAN COLLEGE,"$90,000 to less than $100,000",$90K+,"Yes, have cell phone", , ,English,2,Yes,1072,California,West,2,Outbound,Automatic,Predictive (Landline sample we want to dial predictively) Any Non-PS LL,landline,RDD,State based,State based,Yes,Yes - Democratic/Independent, ,No,71,0,1.0657,16.34,.7189,1.205,English,Pacific,sex = rsex,Dual,Dual HH,4,Rural (CDC=4-6),LL RDD,CALIFORNIA,1,Suburban
00025405,Male,717,No,White,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","1,4",Very favorable,"01,04",Keep the law as it is,71, ,favor/oppose,Oppose,Oppose,Favor,Favor,Favor,Favor,Favor,119,No,More than 6 months or until there is a vaccine widely available,"01,02",Option B: The worst is yet to come,"01,03",Generally correct,Somewhat worried,"01,02",too many/not enough,About the right amount,About the right amount,Every time,personal choice/part of everyone's responsibility,Wearing a mask is part of everyone's responsibility to protect the health of others,"03,01,02",Yes,No,Yes,213,Probably get it,"1,3",Wait until it has been available for a while to see how it is working for other people, , , , , , , , , , ,personal choice/everyone's responsibility,Getting vaccinated is a personal choice,"06,03,04,08,09,01,02,07,05",Not at all,A fair amount,A fair amount,A great deal,A great deal,A fair amount,A fair amount,A great deal,A fair amount,quickly/slowly,About right,working for the good of the public/making a profit,Equally interested in working for the public and making a profit,By the summer of 2021,Q19/Q20,Somewhat confident,Somewhat confident, , ,314,87, ,65+,65+,65+,75+,65+,No,Married,Yes,"Yes, voted",Donald Trump/Joe Biden,Joe Biden, ,No,Retired,RETIRED, ,No, ,Covered by health insurance, ,Medicare, , , , , , , ,Male,MALE,No,Yes,No,No, ,No, ,"Yes, someone else in household","1,2",Democrat, ,DEMOCRAT/INDEPENDENT LEAN DEMOCRAT,DEMOCRAT,Moderate,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)",COLLEGE +,COLLEGE +,COLLEGE +,"$50,000 to less than $75,000",$40K-$89K,"Yes, have cell phone", , ,English,1,Yes,1306,Pennsylvania,Northeast,4,Outbound,Automatic,Predictive (Landline sample we want to dial predictively) Any Non-PS LL,landline,RDD,State based,State based,Yes,Yes - Democratic/Independent, ,No,73,0,.7859,8.1886,.3603,.6038,English,Mid Atlantic,sex = rsex,Dual,Dual HH,3,"Suburban (CDC=2,3)",LL RDD,PENNSYLVANIA,1,Suburban
00025468,Male,717,No,White,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","4,1",Somewhat unfavorable,"04,01",Repeal the entire law,88, ,favor/oppose,Oppose,Oppose,Favor,Oppose,Oppose,Favor,Oppose,134,Yes - minor impact,More than 6 months or until there is a vaccine widely available,"01,02",Do you not think the coronavirus is or will be a major problem in the U.S.?,"03,01",Generally exaggerated,Somewhat worried,"01,02",too many/not enough,About the right amount,About the right amount,Every time,personal choice/part of everyone's responsibility,Wearing a mask is part of everyone's responsibility to protect the health of others,"01,03,02",Yes,No,Yes,235,Probably get it,"3,1",Wait until it has been available for a while to see how it is working for other people, , , , , , , , , , ,personal choice/everyone's responsibility,Getting vaccinated is part of everyone's responsibility to protect the health of others,"02,03,09,01,04,07,05,06,08",A fair amount,A fair amount,A fair amount,Not much,Not much,A fair amount,Not much,A fair amount,A fair amount,quickly/slowly,About right,working for the good of the public/making a profit,Equally interested in working for the public and making a profit,Early in 2021,Q19/Q20,Somewhat confident,Very confident, , ,260,62, ,18-64,50-64,55-64,60-69,45-64,No,Married,Yes,"Yes, voted",Donald Trump/Joe Biden,Refused, ,Yes,Unemployed and not seeking employment,UNEMPLOYED, ,No, ,Covered by health insurance,INSURED LESS THAN 65,Somewhere else,Somewhere else,"No, did not purchase yourself", , , , , ,Male,MALE,No,Yes,"Yes, a family member",Yes,Yes,No, ,"Yes, both respondent and someone else in household","1,2",Independent,Republican,REPUBLICAN/INDEPENDENT LEAN REPUBLICAN,INDEPENDENT LEAN REP,Conservative,"Some college, no degree (includes some community college)",SOME COLLEGE,SOME COLLEGE,LESS THAN COLLEGE,"$75,000 to less than $90,000",$40K-$89K,"Yes, have cell phone", , ,English,3,Yes,1312,Maryland,South,2,Outbound,Automatic,Predictive (Landline sample we want to dial predictively) Any Non-PS LL,landline,RDD,State based,State based,Yes,Yes - Republican Governor, ,No,75,1,.2548,4.1234,.1814,.3041,English,South Atlantic,sex = rsex,Dual,Dual HH,4,Rural (CDC=4-6),LL RDD,MARYLAND,1,Suburban
